genres,id,vote_average,keywords
"[{'id': 80}, {'id': 9648}, {'id': 53}]",807.0,<10.0>,"[{'id': 476}, {'id': 703}, {'id': 1470}, {'id': 2231}, {'id': 3597}, {'id': 3857}, {'id': 3927}, {'id': 3932}, {'id': 4138}, {'id': 4142}, {'id': 5340}, {'id': 6125}, {'id': 6149}, {'id': 10714}]"
"[{'id': 12}, {'id': 16}, {'id': 18}, {'id': 10751}]",10530.0,<8.0>,"[{'id': 1463}, {'id': 3591}, {'id': 3691}, {'id': 4090}, {'id': 4344}, {'id': 4542}, {'id': 7376}, {'id': 9840}, {'id': 10322}, {'id': 10336}, {'id': 160977}, {'id': 165086}, {'id': 173808}, {'id': 173811}, {'id': 173815}, {'id': 173823}, {'id': 173824}, {'id': 173825}, {'id': 180217}, {'id': 185343}, {'id': 207941}, {'id': 208426}, {'id': 225547}, {'id': 230456}, {'id': 234183}, {'id': 234184}, {'id': 234185}]"
"[{'id': 18}, {'id': 10749}]",8391.0,<6.0>,"[{'id': 1992}, {'id': 158718}, {'id': 187056}]"
"[{'id': 18}, {'id': 80}, {'id': 53}]",629.0,<10.0>,"[{'id': 3703}, {'id': 5493}, {'id': 14604}, {'id': 15009}, {'id': 18023}, {'id': 18024}, {'id': 18027}]"
"[{'id': 35}, {'id': 10749}]",11448.0,<8.0>,"[{'id': 549}, {'id': 2393}, {'id': 4130}, {'id': 5885}, {'id': 6230}, {'id': 8018}, {'id': 10183}, {'id': 33625}, {'id': 208349}]"
"[{'id': 18}, {'id': 10769}]",49133.0,<8.0>,[{'id': 10183}]
"[{'id': 28}, {'id': 12}, {'id': 35}, {'id': 10751}]",26441.0,<6.0>,"[{'id': 6075}, {'id': 9963}, {'id': 13042}, {'id': 187056}]"
[{'id': 18}],97406.0,<8.0>,"[{'id': 567}, {'id': 2679}, {'id': 6027}, {'id': 14964}, {'id': 33624}]"
"[{'id': 35}, {'id': 18}, {'id': 10749}]",9089.0,<8.0>,"[{'id': 2672}, {'id': 4543}, {'id': 7629}, {'id': 155294}, {'id': 171760}, {'id': 187056}]"
"[{'id': 35}, {'id': 18}, {'id': 10749}]",11010.0,<8.0>,"[{'id': 2041}, {'id': 3344}, {'id': 4461}, {'id': 5420}, {'id': 5933}]"
"[{'id': 12}, {'id': 10751}, {'id': 14}]",11359.0,<6.0>,"[{'id': 1990}, {'id': 6186}, {'id': 6300}, {'id': 33465}, {'id': 187065}]"
"[{'id': 18}, {'id': 53}]",17182.0,<6.0>,"[{'id': 570}, {'id': 1419}, {'id': 2801}, {'id': 204959}]"
