budget,genres,original_language,popularity,production_companies,production_countries,revenue,runtime,vote_count,vote_average
7500000.0,9,8,12.314278,14,14,32392047.0,91.0,245,1
35000000.0,8,1,2.938293,1,1,68787389.92913067,108.0,37,1
13365000.0,4,1,1.254885,23,4,68787389.92913067,106.0,23,1
21604277.457480315,4,1,6.178497,1,2,68787389.92913067,99.0,19,1
21604277.457480315,4,1,2.891918,2,1,68787389.92913067,92.0,11,1
21604277.457480315,5,1,1.317878,2,1,68787389.92913067,100.0,21,1
40000000.0,4,1,6.506983,6,1,70100000.0,117.0,139,1
21604277.457480315,8,8,6.778979,1,14,68787389.92913067,102.0,249,1
21604277.457480315,8,4,1.702639,1,5,68787389.92913067,113.0,29,1
7000000.0,4,1,5.579088,13,1,14702438.0,92.0,66,1
17000000.0,10,1,6.252377,1,2,68787389.92913067,95.0,105,0
50000000.0,5,1,11.418917,6,1,9851610.0,95.0,45,1
21604277.457480315,4,1,5.184977,4,1,68787389.92913067,92.0,110,1
60000000.0,8,1,3.4027489999999996,1,1,68787389.92913067,119.0,51,1
31000000.0,4,1,6.499680000000001,9,1,185260553.0,117.0,303,1
21604277.457480315,4,1,2.039196,25,1,68787389.92913067,98.0,23,1
19000000.0,5,1,9.262184,10,1,141407024.0,118.0,1729,1
21604277.457480315,5,1,2.375865,3,1,68787389.92913067,81.0,31,0
21604277.457480315,8,1,7.415144000000001,14,1,68787389.92913067,102.0,472,1
4000000.0,3,1,0.922958,24,3,851545.0,113.0,11,1
21604277.457480315,9,1,1.7590119999999998,20,4,68787389.92913067,105.0,21,1
52000000.0,8,1,18.761467,26,1,355237933.0,140.0,1637,1
28000000.0,2,1,10.193549,9,3,31596911.0,139.0,151,1
21604277.457480315,8,1,3.137285,1,1,68787389.92913067,82.0,46,1
100000000.0,5,1,13.321354000000001,3,3,336529144.0,121.0,1529,1
21604277.457480315,8,2,10.142662,1,4,68787389.92913067,101.0,163,1
21604277.457480315,8,1,2.04189,10,10,68787389.92913067,100.0,21,1
2000000.0,4,1,11.528147,13,1,1275000.0,83.0,28,1
11000000.0,5,1,5.391556,1,9,178104.0,91.0,57,1
50000000.0,10,1,12.812539,8,1,287928194.0,100.0,1045,1
25000000.0,17,1,4.558992,8,1,13071518.0,128.0,69,1
50000000.0,5,1,7.260574,6,1,152022101.0,109.0,214,0
53000000.0,5,1,8.657364999999999,11,1,157387195.0,116.0,508,1
21604277.457480315,16,1,3.6203879999999997,1,1,3174695.0,119.0,71,1
7000000.0,13,1,6.950458,10,1,25405445.0,104.0,898,1
27000000.0,8,1,4.646132,2,1,16140822.0,102.0,88,1
90000000.0,5,1,15.138855,4,1,366101666.0,128.0,2094,1
21604277.457480315,5,1,7.120806,1,4,68787389.92913067,80.0,57,1
55000000.0,5,1,15.178338,12,1,127600435.0,134.0,319,1
21604277.457480315,2,1,7.575098,5,4,68787389.92913067,95.0,130,1
20000000.0,5,1,14.810519000000001,9,1,7563728.0,107.0,406,1
21604277.457480315,4,1,3.196456,1,1,68787389.92913067,92.0,19,1
25000000.0,2,1,11.715867999999999,2,9,19075720.0,97.0,380,1
90000000.0,11,1,8.184814999999999,11,1,113493481.0,96.0,643,1
21604277.457480315,4,1,3.676921,2,1,17014653.0,88.0,34,0
1500000.0,8,1,4.877872,13,1,7412216.0,91.0,280,1
500000.0,8,1,10.058328999999999,1,1,1148752.0,89.0,64,1
21604277.457480315,17,1,4.102409,9,1,68787389.92913067,119.0,87,1
21604277.457480315,8,1,2.624771,22,1,15453274.0,95.0,27,1
6000000.0,3,1,8.255469999999999,8,1,2122561.0,94.0,400,1
15000000.0,5,1,7.024227000000001,4,17,66000000.0,92.0,153,1
2.0,13,1,2.466066,1,2,1.0,95.0,36,1
21604277.457480315,15,1,7.720056,1,1,68787389.92913067,93.0,12,1
22000000.0,9,1,13.304342000000002,10,1,110627965.0,114.0,359,1
21604277.457480315,4,1,8.482834,4,1,69660733.0,103.0,171,1
150000.0,4,1,1.165039,1,1,472370.0,94.0,14,1
8.0,10,1,10.187623,1,1,16.0,98.0,139,1
21604277.457480315,8,1,8.180047,1,3,68787389.92913067,119.0,62,1
50000000.0,8,1,6.752119,11,1,10382407.0,135.0,111,1
45000000.0,8,1,17.502375,9,4,20350754.0,128.0,261,0
